UBIGEO,MONTH,RAIN_ANOM_MEAN,TMAX_ANOM_MEAN,TMIN_ANOM_MEAN,PASS
200403,10,-2.0724163126336257e-15,-1.5395092608135505e-15,5.329070518200751e-16,True
200403,11,1.0658141036401502e-15,8.289665250534502e-16,1.5987211554602255e-15,True
200403,12,-4.736951571734001e-15,1.1842378929335002e-15,-1.0658141036401502e-15,True
200404,1,1.6579330501069005e-15,-7.105427357601002e-16,-9.473903143468002e-16,True
200404,2,-3.315866100213801e-15,-2.2500519965736505e-15,-1.3026616822268502e-15,True
200404,3,-5.684341886080802e-15,9.473903143468002e-16,-3.552713678800501e-16,True
200404,4,3.671137468093851e-15,-8.289665250534502e-16,2.2500519965736505e-15,True
200404,5,-2.516505522483688e-16,9.473903143468002e-16,-3.552713678800501e-16,True
200404,6,3.3306690738754695e-17,2.6053233644537005e-15,-1.4210854715202005e-15,True
200404,7,-3.7007434154171884e-18,9.473903143468002e-16,-1.6579330501069005e-15,True
200404,8,8.881784197001253e-17,5.921189464667501e-16,-2.4868995751603505e-15,True
200404,9,2.220446049250313e-16,2.3684757858670005e-15,1.4210854715202005e-15,True
200404,10,2.6645352591003756e-16,1.4210854715202005e-15,7.105427357601002e-16,True
200404,11,1.1842378929335003e-16,7.105427357601002e-16,3.552713678800501e-16,True
200404,12,-5.329070518200751e-16,9.473903143468002e-16,-1.1842378929335002e-15,True
200405,1,6.394884621840902e-15,4.736951571734001e-16,-1.6579330501069005e-15,True
200405,2,-1.1368683772161604e-14,-2.960594732333751e-15,8.289665250534502e-16,True
200405,3,-2.0842586915629604e-14,-2.723747153747051e-15,1.6579330501069005e-15,True
200405,4,6.868579779014302e-15,1.1842378929335003e-16,0.0,True
200405,5,-9.769962616701378e-16,-1.1842378929335003e-16,-2.2500519965736505e-15,True
200405,6,-6.661338147750939e-17,-7.105427357601002e-16,2.723747153747051e-15,True
200405,7,-3.7007434154171884e-18,-8.289665250534502e-16,1.4210854715202005e-15,True
200405,8,2.0724163126336256e-16,-1.3026616822268502e-15,-8.289665250534502e-16,True
200405,9,-4.2928623618839387e-16,-2.0132044179869505e-15,-2.6053233644537005e-15,True
200405,10,3.2566542055671256e-16,5.921189464667501e-16,-2.2500519965736505e-15,True
200405,11,-2.3684757858670006e-16,1.5395092608135505e-15,2.3684757858670006e-16,True
200405,12,-1.1842378929335003e-16,5.921189464667501e-16,-1.8947806286936005e-15,True
200406,1,0.0,-7.105427357601002e-16,1.6579330501069005e-15,True
200406,2,-1.6579330501069005e-15,1.5395092608135505e-15,-1.6579330501069005e-15,True
200406,3,1.3263464400855204e-14,2.3684757858670006e-16,-2.3684757858670006e-16,True
200406,4,-4.500103993147301e-15,5.921189464667501e-16,-2.1316282072803005e-15,True
200406,5,-1.5987211554602255e-15,1.7763568394002505e-15,-8.289665250534502e-16,True
200406,6,-8.141635513917814e-17,-5.921189464667501e-16,-3.552713678800501e-16,True
200406,7,1.850371707708594e-17,0.0,1.8947806286936005e-15,True
200406,8,1.7763568394002506e-16,1.1842378929335002e-15,-8.881784197001252e-16,True
200406,9,-8.881784197001253e-17,2.1316282072803005e-15,1.6579330501069005e-15,True
200406,10,-6.217248937900876e-16,1.1842378929335003e-16,-2.3684757858670006e-16,True
200406,11,4.736951571734001e-16,1.1842378929335003e-16,9.473903143468002e-16,True
200406,12,0.0,-3.079018521627101e-15,5.921189464667501e-16,True
200407,1,9.947598300641402e-15,1.8947806286936005e-15,1.1842378929335002e-15,True
200407,2,2.842170943040401e-14,-1.6579330501069005e-15,2.0132044179869505e-15,True
200407,3,1.7053025658242404e-14,1.7763568394002505e-15,-1.4210854715202005e-15,True
200407,4,2.842170943040401e-15,-5.921189464667501e-16,2.3684757858670006e-16,True
200407,5,3.079018521627101e-15,1.5395092608135505e-15,-5.921189464667501e-16,True
200407,6,-2.3684757858670006e-16,-2.3684757858670006e-16,-4.736951571734001e-16,True
200407,7,3.3306690738754695e-17,-1.5395092608135505e-15,1.1842378929335002e-15,True
200407,8,-5.921189464667501e-17,1.7763568394002505e-15,7.105427357601002e-16,True
200407,9,3.2566542055671256e-16,-2.1316282072803005e-15,-2.3684757858670006e-16,True
200407,10,4.144832625267251e-16,1.3026616822268502e-15,2.1316282072803005e-15,True
200407,11,4.736951571734001e-16,-1.1842378929335003e-16,1.1842378929335003e-16,True
200407,12,4.736951571734001e-16,1.8947806286936005e-15,5.921189464667501e-16,True
200408,1,-4.500103993147301e-15,-8.289665250534502e-16,-2.723747153747051e-15,True
200408,2,6.631732200427602e-15,2.0132044179869505e-15,-1.1842378929335003e-16,True
200408,3,1.1368683772161604e-14,-1.6579330501069005e-15,-4.736951571734001e-16,True
200408,4,-1.0894988614988204e-14,5.921189464667501e-16,1.1842378929335003e-16,True
200408,5,-2.4276876805136757e-15,1.3026616822268502e-15,-1.8947806286936005e-15,True
200408,6,-8.141635513917814e-17,-9.473903143468002e-16,3.552713678800501e-16,True
200408,7,-2.960594732333751e-17,-2.0132044179869505e-15,2.2500519965736505e-15,True
200408,8,-1.7763568394002506e-16,-5.921189464667501e-16,1.6579330501069005e-15,True
200408,9,-3.552713678800501e-16,2.960594732333751e-15,0.0,True
200408,10,-5.329070518200751e-16,1.1842378929335002e-15,-1.1842378929335002e-15,True
200408,11,1.0658141036401502e-15,-1.8947806286936005e-15,3.552713678800501e-16,True
200408,12,3.315866100213801e-15,-2.1316282072803005e-15,1.7763568394002505e-15,True
200409,1,-5.447494307494102e-15,2.3684757858670005e-15,-2.0132044179869505e-15,True
200409,2,-9.473903143468002e-16,1.5395092608135505e-15,1.1842378929335002e-15,True
200409,3,2.0842586915629604e-14,-2.3684757858670006e-16,-1.5395092608135505e-15,True
200409,4,6.631732200427602e-15,2.3684757858670006e-16,-1.1842378929335003e-16,True
200409,5,7.105427357601002e-16,-1.1842378929335003e-16,0.0,True
200409,6,-2.960594732333751e-17,3.315866100213801e-15,-1.0658141036401502e-15,True
200409,7,3.3306690738754695e-17,1.3026616822268502e-15,-1.4802973661668755e-15,True
200409,8,0.0,2.842170943040401e-15,-3.552713678800501e-16,True
200409,9,1.924386576016938e-16,-1.6579330501069005e-15,-1.1842378929335003e-16,True
200409,10,-2.9605947323337506e-16,2.2500519965736505e-15,-1.3026616822268502e-15,True
200409,11,0.0,2.0132044179869505e-15,1.7171449447535755e-15,True
200409,12,-1.8947806286936005e-15,-1.1842378929335003e-16,5.921189464667501e-16,True
200410,1,1.8947806286936005e-15,5.921189464667501e-16,5.921189464667501e-16,True
200410,2,-9.947598300641402e-15,-1.1842378929335003e-16,-2.2500519965736505e-15,True
200410,3,-5.684341886080802e-15,2.1316282072803005e-15,-2.3684757858670006e-16,True
200410,4,1.0894988614988204e-14,-2.2500519965736505e-15,-2.0132044179869505e-15,True
200410,5,-5.921189464667501e-16,-2.842170943040401e-15,1.6579330501069005e-15,True
200410,6,-1.4802973661668754e-17,4.736951571734001e-16,-1.0658141036401502e-15,True
200410,7,-4.4408920985006264e-17,-2.3684757858670006e-16,-7.105427357601002e-16,True
200410,8,-5.921189464667501e-17,-7.105427357601002e-16,-9.473903143468002e-16,True
200410,9,1.0362081563168128e-15,1.7763568394002505e-15,-8.289665250534502e-16,True
200410,10,-1.8355687340469257e-15,-1.7763568394002505e-15,-1.1842378929335003e-16,True
200410,11,1.4210854715202005e-15,-2.2500519965736505e-15,-2.2500519965736505e-15,True
200410,12,4.736951571734001e-16,2.4868995751603505e-15,-1.1842378929335002e-15,True
200502,1,4.736951571734001e-16,2.6053233644537005e-15,-3.552713678800501e-16,True
200502,2,2.3684757858670005e-15,-1.7763568394002505e-15,1.7763568394002505e-15,True
200502,3,-7.105427357601002e-16,2.3684757858670005e-15,2.3684757858670006e-16,True
200502,4,-7.697546304067752e-16,3.434289889507151e-15,1.7763568394002505e-15,True
200502,5,0.0,1.5395092608135505e-15,-2.960594732333751e-15,True
200502,6,-3.7007434154171884e-18,-1.1842378929335002e-15,3.552713678800501e-16,True
200502,7,-2.6830389761774617e-17,2.723747153747051e-15,-1.0658141036401502e-15,True
200502,8,-5.551115123125783e-17,1.5395092608135505e-15,1.1842378929335002e-15,True
200502,9,3.700743415417188e-17,1.6579330501069005e-15,-2.3684757858670006e-16,True
200502,10,1.1842378929335003e-16,-4.736951571734001e-16,1.1842378929335002e-15,True
200502,11,4.625929269271485e-18,1.3026616822268502e-15,-1.1842378929335002e-15,True
200502,12,-3.108624468950438e-16,1.1842378929335002e-15,-1.5395092608135505e-15,True
200503,1,-2.723747153747051e-15,-2.3684757858670005e-15,2.3684757858670006e-16,True
200503,2,-1.1842378929335002e-15,-2.2500519965736505e-15,2.3684757858670005e-15,True
200503,3,5.684341886080802e-15,8.289665250534502e-16,-1.1842378929335003e-16,True
200503,4,-4.736951571734001e-16,7.105427357601002e-16,-2.2500519965736505e-15,True
200503,5,-5.181040781584064e-17,-2.3684757858670006e-16,-1.8947806286936005e-15,True
200503,6,5.458596537740353e-17,-5.921189464667501e-16,-1.1842378929335003e-16,True
200503,7,-4.4408920985006264e-17,2.6053233644537005e-15,2.3684757858670006e-16,True
200503,8,-1.6653345369377347e-17,-3.552713678800501e-16,-1.8947806286936005e-15,True
200503,9,4.810966440042345e-17,-3.552713678800501e-16,-6.513308411134251e-16,True
200503,10,-5.921189464667501e-17,-2.723747153747051e-15,-1.8947806286936005e-15,True
200503,11,-1.8503717077085942e-18,-2.4868995751603505e-15,1.1842378929335003e-16,True
200503,12,1.6283271027835628e-16,1.0658141036401502e-15,-7.105427357601002e-16,True
200504,1,1.1842378929335003e-16,-7.105427357601002e-16,-2.3684757858670005e-15,True
200504,2,9.473903143468002e-16,-2.2500519965736505e-15,-1.0658141036401502e-15,True
200504,3,-3.552713678800501e-15,-2.723747153747051e-15,-9.473903143468002e-16,True
200504,4,1.1250259982868252e-15,-9.473903143468002e-16,5.921189464667501e-16,True
200504,5,-8.141635513917814e-17,1.1842378929335003e-16,0.0,True
200504,6,8.141635513917814e-17,1.3026616822268502e-15,-1.1842378929335002e-15,True
200504,7,-4.4408920985006264e-17,2.3684757858670006e-16,-9.473903143468002e-16,True
200504,8,3.3306690738754695e-17,-1.3026616822268502e-15,-2.842170943040401e-15,True
200504,9,2.960594732333751e-17,2.2500519965736505e-15,-7.697546304067752e-16,True
200504,10,1.4802973661668754e-17,1.5395092608135505e-15,2.3684757858670005e-15,True
200504,11,4.625929269271486e-17,-4.736951571734001e-16,4.736951571734001e-16,True
200504,12,4.884981308350689e-16,2.4868995751603505e-15,1.3026616822268502e-15,True
200505,1,-2.2500519965736505e-15,-8.289665250534502e-16,-1.1842378929335003e-16,True
200505,2,-1.4210854715202005e-15,-2.3684757858670005e-15,2.1316282072803005e-15,True
200505,3,0.0,-9.473903143468002e-16,7.105427357601002e-16,True
200505,4,-1.3026616822268502e-15,8.289665250534502e-16,1.0658141036401502e-15,True
200505,5,1.0362081563168128e-16,-2.2500519965736505e-15,-2.0132044179869505e-15,True
200505,6,2.3129646346357427e-18,-5.921189464667501e-16,8.289665250534502e-16,True
200505,7,5.551115123125783e-18,4.736951571734001e-16,-9.473903143468002e-16,True
200505,8,-5.181040781584064e-17,4.736951571734001e-16,2.3684757858670006e-16,True
200505,9,6.661338147750939e-17,-1.7763568394002505e-15,-1.4802973661668755e-15,True
200505,10,-1.7763568394002506e-16,-1.3026616822268502e-15,-1.1842378929335002e-15,True
200505,11,2.590520390792032e-17,1.1842378929335003e-16,4.736951571734001e-16,True
200505,12,1.3322676295501878e-16,-1.1842378929335003e-16,-9.473903143468002e-16,True
200506,1,1.4210854715202005e-15,-1.0658141036401502e-15,-2.0132044179869505e-15,True
200506,2,5.447494307494102e-15,-2.6053233644537005e-15,-1.3026616822268502e-15,True
200506,3,2.842170943040401e-15,-3.552713678800501e-16,-8.289665250534502e-16,True
200506,4,2.3684757858670006e-16,-2.3684757858670005e-15,2.6053233644537005e-15,True
200506,5,1.0362081563168128e-16,2.3684757858670005e-15,-5.921189464667501e-16,True
200506,6,-1.572815951552305e-17,4.736951571734001e-16,2.1908401019269757e-15,True
200506,7,-2.0816681711721684e-18,1.4210854715202005e-15,8.289665250534502e-16,True
200506,8,-3.14563190310461e-17,-3.552713678800501e-16,1.7763568394002506e-16,True
200506,9,5.551115123125783e-17,-1.3026616822268502e-15,-7.697546304067752e-16,True
200506,10,-1.924386576016938e-16,-2.2500519965736505e-15,4.144832625267251e-16,True
200506,11,-1.850371707708594e-17,5.921189464667501e-16,-1.1842378929335002e-15,True
200506,12,-1.0066022089934752e-15,1.1842378929335003e-16,-3.197442310920451e-15,True
200507,1,3.552713678800501e-16,-5.921189464667501e-16,5.921189464667501e-16,True
200507,2,-9.473903143468002e-16,1.0658141036401502e-15,5.921189464667501e-16,True
200507,3,-1.6579330501069005e-15,-1.5395092608135505e-15,-1.7763568394002505e-15,True
200507,4,-1.7171449447535755e-15,-3.552713678800501e-16,-1.3026616822268502e-15,True
200507,5,2.9605947323337506e-16,1.1842378929335003e-16,-2.3684757858670006e-16,True
200507,6,-1.5173048003210473e-16,-1.5395092608135505e-15,-4.736951571734001e-16,True
200507,7,1.4802973661668754e-17,-1.0658141036401502e-15,-2.2500519965736505e-15,True
200507,8,5.181040781584064e-17,-1.0658141036401502e-15,-8.289665250534502e-16,True
200507,9,7.031412489292658e-17,-7.105427357601002e-16,9.473903143468002e-16,True
200507,10,-3.700743415417188e-17,1.8947806286936005e-15,4.736951571734001e-16,True
200507,11,3.515706244646329e-17,-1.6579330501069005e-15,1.7763568394002505e-15,True
200507,12,7.845576040684439e-16,3.552713678800501e-16,1.4210854715202005e-15,True
200601,1,-7.105427357601002e-16,-3.907985046680551e-15,0.0,True
200601,2,1.0421293457814802e-14,3.315866100213801e-15,3.552713678800501e-16,True
200601,3,7.579122514774402e-15,-1.0658141036401502e-15,-2.723747153747051e-15,True
200601,4,0.0,-4.736951571734001e-16,-7.105427357601002e-16,True
200601,5,3.4046839421838136e-16,2.3684757858670005e-15,-1.1842378929335002e-15,True
200601,6,1.295260195396016e-17,1.0658141036401502e-15,-2.3684757858670006e-16,True
200601,7,-6.47630097698008e-18,0.0,2.2500519965736505e-15,True
200601,8,2.960594732333751e-17,-4.736951571734001e-16,-2.3684757858670006e-16,True
200601,9,-7.401486830834377e-18,-1.8947806286936005e-15,1.4210854715202005e-15,True
200601,10,4.4408920985006264e-17,2.960594732333751e-15,-2.3684757858670005e-15,True
200601,11,-2.960594732333751e-17,-1.1842378929335002e-15,-2.3684757858670005e-15,True
200601,12,7.697546304067752e-16,2.1316282072803005e-15,3.197442310920451e-15,True
200603,1,-1.0658141036401502e-15,7.105427357601002e-16,3.552713678800501e-16,True
200603,2,3.552713678800501e-15,1.4210854715202005e-15,-1.3026616822268502e-15,True
200603,3,0.0,-1.1842378929335003e-16,-9.473903143468002e-16,True
200603,4,1.1842378929335003e-16,-9.473903143468002e-16,4.736951571734001e-16,True
200603,5,-2.812564995717063e-16,7.105427357601002e-16,3.552713678800501e-16,True
200603,6,-1.7578531223231644e-17,1.7763568394002505e-15,-3.552713678800501e-16,True
200603,7,-1.61907524424502e-18,1.1842378929335003e-16,-1.0658141036401502e-15,True
200603,8,3.700743415417188e-17,9.473903143468002e-16,-1.1250259982868252e-15,True
200603,9,1.1102230246251565e-16,0.0,-1.9539925233402757e-15,True
200603,10,3.700743415417188e-17,-2.723747153747051e-15,-2.9605947323337506e-16,True
200603,11,-2.4054832200211726e-17,1.1842378929335003e-16,3.552713678800501e-15,True
200603,12,7.401486830834377e-16,-9.473903143468002e-16,-3.552713678800501e-16,True
200605,1,-5.447494307494102e-15,-2.3684757858670006e-16,-9.473903143468002e-16,True
200605,2,-1.0421293457814802e-14,3.552713678800501e-16,-3.079018521627101e-15,True
200605,3,-6.631732200427602e-15,1.3026616822268502e-15,8.289665250534502e-16,True
200605,4,-3.552713678800501e-16,-9.473903143468002e-16,1.1842378929335003e-16,True
200605,5,1.924386576016938e-16,1.3026616822268502e-15,-5.921189464667501e-16,True
200605,6,4.810966440042345e-17,2.3684757858670006e-16,5.921189464667501e-16,True
200605,7,1.0639637319324418e-17,5.921189464667501e-16,-1.8947806286936005e-15,True
200605,8,1.4802973661668754e-17,1.0658141036401502e-15,-2.3684757858670006e-16,True
200605,9,-4.070817756958907e-17,-2.4868995751603505e-15,-1.4210854715202005e-15,True
200605,10,-7.401486830834377e-17,7.105427357601002e-16,-1.6579330501069005e-15,True
200605,11,-3.14563190310461e-17,2.3684757858670005e-15,4.736951571734001e-16,True
200605,12,4.144832625267251e-16,-2.960594732333751e-15,-2.1316282072803005e-15,True
200606,1,-3.789561257387201e-15,0.0,1.5395092608135505e-15,True
200606,2,-2.3684757858670005e-15,3.079018521627101e-15,-1.1842378929335002e-15,True
200606,3,1.8947806286936005e-15,2.6053233644537005e-15,5.921189464667501e-16,True
200606,4,-9.769962616701378e-16,-3.552713678800501e-16,-2.3684757858670006e-16,True
200606,5,-6.661338147750939e-17,7.105427357601002e-16,-9.473903143468002e-16,True
200606,6,3.053113317719181e-17,-9.473903143468002e-16,1.3026616822268502e-15,True
200606,7,-2.8680761469483214e-17,2.723747153747051e-15,-2.2500519965736505e-15,True
200606,8,-1.8503717077085942e-18,-2.723747153747051e-15,-1.4210854715202005e-15,True
200606,9,7.771561172376095e-17,-1.1842378929335003e-16,1.1842378929335002e-15,True
200606,10,-1.3322676295501878e-16,-3.434289889507151e-15,-2.842170943040401e-15,True
200606,11,-4.255854927729767e-17,1.3026616822268502e-15,-7.105427357601002e-16,True
200606,12,4.736951571734001e-16,-8.289665250534502e-16,1.7763568394002505e-15,True
200607,1,0.0,1.4210854715202005e-15,-1.7763568394002505e-15,True
