ALTERNATIVE_ID,SOURCE_CAMPAIGN,UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,CAMPAIGN_MONTH_ORDER,CALENDAR_YEAR,CALENDAR_MONTH,YEAR_MONTH,SIEMBRA_HA,CAMPAIGN_TOTAL_HA,WITHIN_CAMPAIGN_SHARE,OBSERVED_ZERO_FLAG,SOURCE_MISSING_FLAG,EMPIRICALLY_REALIZED,REFERENCE_CONFIGURATION_ROLE
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,1,2020,8,202008,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,2,2020,9,202009,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,3,2020,10,202010,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,4,2020,11,202011,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,5,2020,12,202012,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,6,2021,1,202101,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,7,2021,2,202102,30,30,1,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,8,2021,3,202103,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,9,2021,4,202104,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,10,2021,5,202105,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,11,2021,6,202106,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,12,2021,7,202107,0,30,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,1,2020,8,202008,702,4078,0.1721432074546346248160863168,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,2,2020,9,202009,0,4078,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,3,2020,10,202010,0,4078,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,4,2020,11,202011,0,4078,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,5,2020,12,202012,0,4078,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,6,2021,1,202101,0,4078,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,7,2021,2,202102,3136,4078,0.769004413928396272682687592,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,8,2021,3,202103,240,4078,0.05885237861696910250122609122,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200114,TAMBO GRANDE,14010020000,ARROZ,9,2021,4,202104,0,4078,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
