year,month,DATE,ICEN
1980,5,1980-05-01,0.22
1980,6,1980-06-01,-0.05
1980,7,1980-07-01,-0.13
1980,8,1980-08-01,-0.15
1980,9,1980-09-01,-0.05
1980,10,1980-10-01,-0.06
1980,11,1980-11-01,-0.13
1980,12,1980-12-01,-0.53
1981,1,1981-01-01,-0.74
1981,2,1981-02-01,-0.74
1981,3,1981-03-01,-0.48
1981,4,1981-04-01,-0.34
1981,5,1981-05-01,-0.38
1981,6,1981-06-01,-0.41
1981,7,1981-07-01,-0.55
1981,8,1981-08-01,-0.63
1981,9,1981-09-01,-0.56
1981,10,1981-10-01,-0.4
1981,11,1981-11-01,-0.24
1981,12,1981-12-01,-0.14
1982,1,1982-01-01,-0.17
1982,2,1982-02-01,-0.45
1982,3,1982-03-01,-0.62
1982,4,1982-04-01,-0.45
1982,5,1982-05-01,0.0
1982,6,1982-06-01,0.45
1982,7,1982-07-01,0.8
1982,8,1982-08-01,1.16
1982,9,1982-09-01,1.58
1982,10,1982-10-01,2.26
1982,11,1982-11-01,2.83
1982,12,1982-12-01,3.11
1983,1,1983-01-01,2.85
1983,2,1983-02-01,2.63
1983,3,1983-03-01,2.87
1983,4,1983-04-01,3.48
1983,5,1983-05-01,4.13
1983,6,1983-06-01,4.32
1983,7,1983-07-01,3.99
1983,8,1983-08-01,3.0
1983,9,1983-09-01,2.03
1983,10,1983-10-01,1.13
1983,11,1983-11-01,0.7
1983,12,1983-12-01,0.24
1984,1,1984-01-01,-0.11
1984,2,1984-02-01,-0.38
1984,3,1984-03-01,-0.32
1984,4,1984-04-01,-0.39
1984,5,1984-05-01,-0.43
1984,6,1984-06-01,-0.54
1984,7,1984-07-01,-0.38
1984,8,1984-08-01,-0.12
1984,9,1984-09-01,-0.1
1984,10,1984-10-01,-0.02
1984,11,1984-11-01,-0.18
1984,12,1984-12-01,-0.27
1985,1,1985-01-01,-0.61
1985,2,1985-02-01,-0.69
1985,3,1985-03-01,-0.87
1985,4,1985-04-01,-1.03
1985,5,1985-05-01,-1.18
1985,6,1985-06-01,-1.16
1985,7,1985-07-01,-0.97
1985,8,1985-08-01,-0.9
1985,9,1985-09-01,-0.77
1985,10,1985-10-01,-0.69
1985,11,1985-11-01,-0.53
1985,12,1985-12-01,-0.26
1986,1,1986-01-01,0.0
1986,2,1986-02-01,-0.11
1986,3,1986-03-01,-0.41
1986,4,1986-04-01,-0.79
1986,5,1986-05-01,-0.92
1986,6,1986-06-01,-0.82
1986,7,1986-07-01,-0.5
1986,8,1986-08-01,-0.09
1986,9,1986-09-01,0.17
1986,10,1986-10-01,0.3
1986,11,1986-11-01,0.42
1986,12,1986-12-01,0.69
1987,1,1987-01-01,0.97
1987,2,1987-02-01,1.3
1987,3,1987-03-01,1.48
1987,4,1987-04-01,1.63
1987,5,1987-05-01,1.46
1987,6,1987-06-01,1.27
1987,7,1987-07-01,1.0
1987,8,1987-08-01,1.03
1987,9,1987-09-01,1.18
1987,10,1987-10-01,1.27
1987,11,1987-11-01,1.1
1987,12,1987-12-01,0.65
1988,1,1988-01-01,0.24
1988,2,1988-02-01,-0.2
1988,3,1988-03-01,-0.5
1988,4,1988-04-01,-0.84
1988,5,1988-05-01,-1.14
1988,6,1988-06-01,-1.33
1988,7,1988-07-01,-1.44
1988,8,1988-08-01,-1.33
1988,9,1988-09-01,-1.26
1988,10,1988-10-01,-1.11
1988,11,1988-11-01,-0.95
1988,12,1988-12-01,-0.63
1989,1,1989-01-01,-0.26
1989,2,1989-02-01,0.0
1989,3,1989-03-01,0.05
1989,4,1989-04-01,-0.35
1989,5,1989-05-01,-0.68
1989,6,1989-06-01,-0.93
1989,7,1989-07-01,-0.67
1989,8,1989-08-01,-0.54
1989,9,1989-09-01,-0.42
1989,10,1989-10-01,-0.42
1989,11,1989-11-01,-0.36
1989,12,1989-12-01,-0.33
1990,1,1990-01-01,-0.23
1990,2,1990-02-01,-0.19
1990,3,1990-03-01,-0.22
1990,4,1990-04-01,-0.27
1990,5,1990-05-01,-0.24
1990,6,1990-06-01,-0.3
1990,7,1990-07-01,-0.4
1990,8,1990-08-01,-0.48
1990,9,1990-09-01,-0.49
1990,10,1990-10-01,-0.57
1990,11,1990-11-01,-0.6
1990,12,1990-12-01,-0.54
1991,1,1991-01-01,-0.4
1991,2,1991-02-01,-0.26
1991,3,1991-03-01,-0.19
1991,4,1991-04-01,-0.16
1991,5,1991-05-01,-0.03
1991,6,1991-06-01,0.28
1991,7,1991-07-01,0.47
1991,8,1991-08-01,0.53
1991,9,1991-09-01,0.51
1991,10,1991-10-01,0.58
1991,11,1991-11-01,0.65
1991,12,1991-12-01,0.62
1992,1,1992-01-01,0.67
1992,2,1992-02-01,0.89
1992,3,1992-03-01,1.45
1992,4,1992-04-01,1.99
1992,5,1992-05-01,1.86
1992,6,1992-06-01,1.12
1992,7,1992-07-01,0.29
1992,8,1992-08-01,-0.01
1992,9,1992-09-01,-0.01
1992,10,1992-10-01,-0.04
1992,11,1992-11-01,-0.14
1992,12,1992-12-01,-0.11
1993,1,1993-01-01,0.1
1993,2,1993-02-01,0.41
1993,3,1993-03-01,0.82
1993,4,1993-04-01,1.11
