UBIGEO,COD_CULTIVO,CROP_STD,ANO,VARIABLE,VALUE,Z_SCORE,THRESHOLD_ABS_Z,ACTION
200605,15010040000,PLATANOS Y BANANAS,2018,PRODUCCION,62151.0,3.5255278517518014,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2019,PRODUCCION,74688.0,4.323996553040916,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2020,PRODUCCION,72734.0,4.1995482925065835,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2021,PRODUCCION,61156.0,3.4621573199034588,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2022,PRODUCCION,85286.0,4.998972328446679,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2023,PRODUCCION,86679.0,5.0876910730343585,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2016,PRODUCCION,55790.0,3.1204022707595334,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2018,PRODUCCION,66172.0,3.7816212271911835,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2019,PRODUCCION,76014.0,4.408448136187552,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2020,PRODUCCION,76103.0,4.4141164551167,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2021,PRODUCCION,59755.0,3.3729290635019233,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2022,PRODUCCION,84154.0,4.926876406786052,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2023,PRODUCCION,91506.0,5.3951177637197345,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2016,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2017,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2018,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2019,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2020,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2021,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2022,HARVEST_AREA,2046.0,3.494587166808296,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2023,HARVEST_AREA,2008.0,3.4178067372095327,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2016,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2017,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2018,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2019,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2020,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2021,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2022,HARVEST_AREA,2214.0,3.834037487139673,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2023,HARVEST_AREA,2114.0,3.631983725037663,3.0,RETAIN_FOR_REVIEW
200101,15010040000,PLATANOS Y BANANAS,2016,SOWN_AREA,142.0,3.7047266251419306,3.0,RETAIN_FOR_REVIEW
200101,15010040000,PLATANOS Y BANANAS,2017,SOWN_AREA,136.0,3.5390589079956207,3.0,RETAIN_FOR_REVIEW
200104,15010040000,PLATANOS Y BANANAS,2016,SOWN_AREA,193.0,5.112902220885567,3.0,RETAIN_FOR_REVIEW
200104,15010040000,PLATANOS Y BANANAS,2018,SOWN_AREA,144.0,3.7599491975240342,3.0,RETAIN_FOR_REVIEW
200104,15010040000,PLATANOS Y BANANAS,2019,SOWN_AREA,152.0,3.9808394870524477,3.0,RETAIN_FOR_REVIEW
200111,15010040000,PLATANOS Y BANANAS,2018,SOWN_AREA,138.0,3.594281480377724,3.0,RETAIN_FOR_REVIEW
200114,15010040000,PLATANOS Y BANANAS,2019,SOWN_AREA,254.0,6.797190678539721,3.0,RETAIN_FOR_REVIEW
200205,15010040000,PLATANOS Y BANANAS,2023,SOWN_AREA,247.0,6.603911675202359,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2016,SOWN_AREA,422.0,11.435886758636405,3.0,RETAIN_FOR_REVIEW
200608,15010040000,PLATANOS Y BANANAS,2016,SOWN_AREA,132.0,3.4286137632314144,3.0,RETAIN_FOR_REVIEW
200210,15010040000,PLATANOS Y BANANAS,2022,PRECIO,2.045714285714286,3.174159203596119,3.0,RETAIN_FOR_REVIEW
200402,15010040000,PLATANOS Y BANANAS,2023,PRECIO,2.2436809001327838,3.663880806586074,3.0,RETAIN_FOR_REVIEW
